
2010-10-28 00:41:16.602561
Filename;binary;time;iters;i/t;kernel;c;gamma;e;i;cache
data/breast-cancer_scale;./svm-train;0.360000;3219;8941.66666667;2;1;0.5;0.01;1000000;10
data/breast-cancer_scale;./svm-cuda-train;1.030000;3219;3125.24271845;2;1;0.5;0.01;1000000;10
data/breast-cancer_scale;./svm-train;0.290000;9440;32551.7241379;0;1;0.5;0.01;1000000;10
data/breast-cancer_scale;./svm-cuda-train;2.940000;9440;3210.88435374;0;1;0.5;0.01;1000000;10
data/ionosphere_scale;./svm-train;0.440000;3332;7572.72727273;2;1;0.5;0.01;1000000;10
data/ionosphere_scale;./svm-cuda-train;0.990000;3332;3365.65656566;2;1;0.5;0.01;1000000;10
data/ionosphere_scale;./svm-train;1.070000;23196;21678.5046729;0;1;0.5;0.01;1000000;10
data/ionosphere_scale;./svm-cuda-train;6.340000;23196;3658.67507886;0;1;0.5;0.01;1000000;10
data/a1a;./svm-train;2.250000;12798;5688.0;2;1;0.5;0.01;1000000;1000
data/a1a;./svm-cuda-train;6.730000;12798;1901.63447251;2;1;0.5;0.01;1000000;1000
data/a1a;./svm-train;2.500000;162225;64890.0;0;1;0.5;0.01;1000000;1000
data/a1a;./svm-cuda-train;83.590000;162225;1940.72257447;0;1;0.5;0.01;1000000;1000
data/a2a;./svm-train;6.640000;22310;3359.93975904;2;1;0.5;0.01;1000000;1000
data/a2a;./svm-cuda-train;12.340000;22310;1807.94165316;2;1;0.5;0.01;1000000;1000
data/a2a;./svm-train;27.710000;254870;9197.7625406;0;1;0.5;0.01;1000000;1000
data/a2a;./svm-cuda-train;137.430000;265416;1931.28137961;0;1;0.5;0.01;1000000;1000
data/a3a;./svm-train;18.820000;29188;1550.90329437;2;1;0.5;0.01;1000000;1000
data/a3a;./svm-cuda-train;16.680000;29405;1762.88968825;2;1;0.5;0.01;1000000;1000
data/a3a;./svm-train;102.960000;346153;3362.01437451;0;1;0.5;0.01;1000000;1000
data/a3a;./svm-cuda-train;163.340000;346153;2119.21758296;0;1;0.5;0.01;1000000;1000
data/a4a;./svm-train;68.610000;45335;660.763737065;2;1;0.5;0.01;1000000;1000
data/a4a;./svm-cuda-train;23.880000;45335;1898.45058626;2;1;0.5;0.01;1000000;1000
data/a4a;./svm-train;350.120000;550555;1572.47515138;0;1;0.5;0.01;1000000;1000
