
2010-10-17 15:03:32.224493
Filename;seriell;time;iters;i/t;kernel;c;gamma;e;i
data/a1a;False;62.520000;124265;1987.60396673;2;1;0.5;0.01;1000000
data/a1a;True;62.480000;124265;1988.87644046;2;1;0.5;0.01;1000000
data/a1a;True;62.600000;124265;1985.06389776;2;1;0.5;0.01;1000000
data/a1a;True;62.560000;124265;1986.3331202;2;1;0.5;0.01;1000000
data/a1a;True;62.610000;124265;1984.74684555;2;1;0.5;0.01;1000000
data/a1a;True;62.580000;124265;1985.69830617;2;1;0.5;0.01;1000000
data/a1a;True;62.630000;124265;1984.11304487;2;1;0.5;0.01;1000000
data/a1a;True;62.620000;124265;1984.4298946;2;1;0.5;0.01;1000000
data/a1a;True;62.710000;124265;1981.58188487;2;1;0.5;0.01;1000000
data/a1a;True;62.560000;124265;1986.3331202;2;1;0.5;0.01;1000000
data/a1a;True;62.560000;124265;1986.3331202;2;1;0.5;0.01;1000000
data/a1a;False;105.080000;156466;1489.01789113;2;1;0.5;0.01;1000000
data/a1a;False;105.130000;156466;1488.30971179;2;1;0.5;0.01;1000000
data/a1a;False;105.040000;156466;1489.58492003;2;1;0.5;0.01;1000000
data/a1a;False;105.000000;156466;1490.15238095;2;1;0.5;0.01;1000000
data/a1a;False;104.980000;156466;1490.43627358;2;1;0.5;0.01;1000000
data/a1a;False;105.090000;156466;1488.87620135;2;1;0.5;0.01;1000000
data/a1a;False;105.200000;156466;1487.31939163;2;1;0.5;0.01;1000000
data/a1a;False;105.070000;156466;1489.15960788;2;1;0.5;0.01;1000000
data/a1a;False;105.080000;156466;1489.01789113;2;1;0.5;0.01;1000000
data/a1a;False;105.180000;156466;1487.60220574;2;1;0.5;0.01;1000000
data/a1a;True;105.070000;156466;1489.15960788;2;1;0.5;0.01;1000000
data/a1a;True;105.100000;156466;1488.73453853;2;1;0.5;0.01;1000000
data/a1a;True;105.080000;156466;1489.01789113;2;1;0.5;0.01;1000000
data/a1a;True;105.180000;156466;1487.60220574;2;1;0.5;0.01;1000000
data/a1a;True;105.120000;156466;1488.45129376;2;1;0.5;0.01;1000000
data/a1a;True;105.090000;156466;1488.87620135;2;1;0.5;0.01;1000000
data/a1a;True;105.070000;156466;1489.15960788;2;1;0.5;0.01;1000000
data/a1a;True;105.050000;156466;1489.44312232;2;1;0.5;0.01;1000000
data/a1a;True;105.100000;156466;1488.73453853;2;1;0.5;0.01;1000000
data/a1a;True;105.090000;156466;1488.87620135;2;1;0.5;0.01;1000000
data/a1a;False;882.300000;1000000;1133.40133741;2;1;0.5;0.01;1000000
data/a1a;False;881.090000;1000000;1134.95783632;2;1;0.5;0.01;1000000
data/a1a;False;881.430000;1000000;1134.5200413;2;1;0.5;0.01;1000000
data/a1a;False;881.870000;1000000;1133.95398415;2;1;0.5;0.01;1000000
data/a1a;False;881.880000;1000000;1133.94112578;2;1;0.5;0.01;1000000
