Filename;binary;time;iters;i/t;kernel;c;gamma;e;i;cache

2010-10-31 20:04:20.494349
data/a3a;./svm-train;18.320000;29188;1593.23144105;2;1;0.5;0.01;1000000;1000
data/a3a;./svm-cuda-train;16.750000;29405;1755.52238806;2;1;0.5;0.01;1000000;1000
data/a3a;./svm-train;103.050000;346153;3359.07811742;0;1;0.5;0.01;1000000;1000
data/a3a;./svm-cuda-train;163.050000;346153;2122.98681386;0;1;0.5;0.01;1000000;1000
data/a4a;./svm-train;68.580000;45335;661.052785069;2;1;0.5;0.01;1000000;1000
data/a4a;./svm-cuda-train;24.050000;45335;1885.03118503;2;1;0.5;0.01;1000000;1000
data/a4a;./svm-train;350.160000;550555;1572.29552205;0;1;0.5;0.01;1000000;1000
data/a4a;./svm-cuda-train;236.880000;550555;2324.19368457;0;1;0.5;0.01;1000000;1000
data/breast-cancer_scale;./svm-train;0.040000;3219;80475.0;2;1;0.5;0.01;1000000;1000
data/breast-cancer_scale;./svm-cuda-train;1.130000;3219;2848.67256637;2;1;0.5;0.01;1000000;1000
data/breast-cancer_scale;./svm-train;0.060000;9440;157333.333333;0;1;0.5;0.01;1000000;1000
data/breast-cancer_scale;./svm-cuda-train;3.100000;9440;3045.16129032;0;1;0.5;0.01;1000000;1000
data/ionosphere_scale;./svm-train;0.050000;3332;66640.0;2;1;0.5;0.01;1000000;1000
data/ionosphere_scale;./svm-cuda-train;1.030000;3332;3234.95145631;2;1;0.5;0.01;1000000;1000
data/ionosphere_scale;./svm-train;0.080000;23196;289950.0;0;1;0.5;0.01;1000000;1000
data/ionosphere_scale;./svm-cuda-train;6.590000;23196;3519.87860395;0;1;0.5;0.01;1000000;1000
2010-10-31 22:21:42.062116
