Filename;binary;time;iters;i/t;kernel;c;gamma;e;i;cache;density

2010-10-28 21:50:49.309413
tools/rand-e1024-v32768-0.75.data;./svm-train;49.290000;100;2.02880908906;2;1;0.5;0.01;100;10;0.75
tools/rand-e1024-v32768-0.75.data;./svm-cuda-train-noeps;0.830000;100;120.481927711;2;1;0.5;0.01;100;10;0.75
tools/rand-e1024-v32768-0.001.data;./svm-train;0.410000;100;243.902439024;2;1;0.5;0.01;100;10;0.001
tools/rand-e1024-v32768-0.001.data;./svm-cuda-train-noeps;0.840000;100;119.047619048;2;1;0.5;0.01;100;10;0.001
tools/rand-e1024-v32768-0.05.data;./svm-train;4.320000;100;23.1481481481;2;1;0.5;0.01;100;10;0.05
tools/rand-e1024-v32768-0.05.data;./svm-cuda-train-noeps;0.830000;100;120.481927711;2;1;0.5;0.01;100;10;0.05
tools/rand-e1024-v32768-0.2.data;./svm-train;15.750000;100;6.34920634921;2;1;0.5;0.01;100;10;0.2
tools/rand-e1024-v32768-0.2.data;./svm-cuda-train-noeps;0.830000;100;120.481927711;2;1;0.5;0.01;100;10;0.2
tools/rand-e1024-v32768-0.7.data;./svm-train;48.600000;100;2.05761316872;2;1;0.5;0.01;100;10;0.7
tools/rand-e1024-v32768-0.7.data;./svm-cuda-train-noeps;0.830000;100;120.481927711;2;1;0.5;0.01;100;10;0.7
tools/rand-e1024-v32768-0.005.data;./svm-train;0.760000;100;131.578947368;2;1;0.5;0.01;100;10;0.005
tools/rand-e1024-v32768-0.005.data;./svm-cuda-train-noeps;0.830000;100;120.481927711;2;1;0.5;0.01;100;10;0.005
tools/rand-e1024-v32768-0.06.data;./svm-train;4.980000;100;20.0803212851;2;1;0.5;0.01;100;10;0.06
tools/rand-e1024-v32768-0.06.data;./svm-cuda-train-noeps;0.830000;100;120.481927711;2;1;0.5;0.01;100;10;0.06
tools/rand-e1024-v32768-0.3.data;./svm-train;23.630000;100;4.23190859077;2;1;0.5;0.01;100;10;0.3
tools/rand-e1024-v32768-0.3.data;./svm-cuda-train-noeps;0.830000;100;120.481927711;2;1;0.5;0.01;100;10;0.3
tools/rand-e1024-v32768-0.8.data;./svm-train;48.910000;100;2.04457166224;2;1;0.5;0.01;100;10;0.8
tools/rand-e1024-v32768-0.8.data;./svm-cuda-train-noeps;0.830000;100;120.481927711;2;1;0.5;0.01;100;10;0.8
tools/rand-e1024-v32768-0.01.data;./svm-train;1.150000;100;86.9565217391;2;1;0.5;0.01;100;10;0.01
tools/rand-e1024-v32768-0.01.data;./svm-cuda-train-noeps;0.830000;100;120.481927711;2;1;0.5;0.01;100;10;0.01
tools/rand-e1024-v32768-0.07.data;./svm-train;5.760000;100;17.3611111111;2;1;0.5;0.01;100;10;0.07
tools/rand-e1024-v32768-0.07.data;./svm-cuda-train-noeps;0.830000;100;120.481927711;2;1;0.5;0.01;100;10;0.07
tools/rand-e1024-v32768-0.4.data;./svm-train;31.140000;100;3.21130378934;2;1;0.5;0.01;100;10;0.4
tools/rand-e1024-v32768-0.4.data;./svm-cuda-train-noeps;0.830000;100;120.481927711;2;1;0.5;0.01;100;10;0.4
tools/rand-e1024-v32768-0.9.data;./svm-train;44.900000;100;2.2271714922;2;1;0.5;0.01;100;10;0.9
tools/rand-e1024-v32768-0.9.data;./svm-cuda-train-noeps;0.830000;100;120.481927711;2;1;0.5;0.01;100;10;0.9
tools/rand-e1024-v32768-0.02.data;./svm-train;1.860000;100;53.7634408602;2;1;0.5;0.01;100;10;0.02
tools/rand-e1024-v32768-0.02.data;./svm-cuda-train-noeps;0.830000;100;120.481927711;2;1;0.5;0.01;100;10;0.02
tools/rand-e1024-v32768-0.08.data;./svm-train;6.550000;100;15.2671755725;2;1;0.5;0.01;100;10;0.08
tools/rand-e1024-v32768-0.08.data;./svm-cuda-train-noeps;0.830000;100;120.481927711;2;1;0.5;0.01;100;10;0.08
tools/rand-e1024-v32768-0.5.data;./svm-train;57.750000;100;1.7316017316;2;1;0.5;0.01;100;10;0.5
tools/rand-e1024-v32768-0.5.data;./svm-cuda-train-noeps;1.270000;100;78.7401574803;2;1;0.5;0.01;100;10;0.5
tools/rand-e1024-v32768-1.data;./svm-train;38.130000;100;2.62260687123;2;1;0.5;0.01;100;10;1
tools/rand-e1024-v32768-1.data;./svm-cuda-train-noeps;0.810000;100;123.456790123;2;1;0.5;0.01;100;10;1
tools/rand-e1024-v32768-0.03.data;./svm-train;2.640000;100;37.8787878788;2;1;0.5;0.01;100;10;0.03
tools/rand-e1024-v32768-0.03.data;./svm-cuda-train-noeps;0.830000;100;120.481927711;2;1;0.5;0.01;100;10;0.03
tools/rand-e1024-v32768-0.09.data;./svm-train;7.320000;100;13.6612021858;2;1;0.5;0.01;100;10;0.09
tools/rand-e1024-v32768-0.09.data;./svm-cuda-train-noeps;0.830000;100;120.481927711;2;1;0.5;0.01;100;10;0.09
tools/rand-e1024-v32768-0.6.data;./svm-train;44.960000;100;2.22419928826;2;1;0.5;0.01;100;10;0.6
tools/rand-e1024-v32768-0.6.data;./svm-cuda-train-noeps;0.830000;100;120.481927711;2;1;0.5;0.01;100;10;0.6
2010-10-28 22:28:37.768745
