Filename;binary;time;iters;i/t;kernel;c;gamma;e;i;cache

2010-10-28 18:43:51.791547
tools/rand-e2048-v16384-1.0.data;./svm-cuda-train-noeps;1;1;1.0;2;1;0.5;0.01;100;10
tools/rand-e2048-v16384-1.0.data;./svm-train;20.410000;100;4.89955903969;0;1;0.5;0.01;100;10
tools/rand-e2048-v16384-1.0.data;./svm-cuda-train-noeps;0.440000;100;227.272727273;0;1;0.5;0.01;100;10
tools/rand-e4096-v8192-1.0.data;./svm-train;39.820000;100;2.51130085384;2;1;0.5;0.01;100;10
tools/rand-e4096-v8192-1.0.data;./svm-cuda-train-noeps;0.730000;100;136.98630137;2;1;0.5;0.01;100;10
tools/rand-e4096-v8192-1.0.data;./svm-train;20.380000;100;4.90677134446;0;1;0.5;0.01;100;10
tools/rand-e4096-v8192-1.0.data;./svm-cuda-train-noeps;0.400000;100;250.0;0;1;0.5;0.01;100;10
tools/rand-e16384-v2048-1.0.data;./svm-train;39.390000;100;2.53871541;2;1;0.5;0.01;100;10
tools/rand-e16384-v2048-1.0.data;./svm-cuda-train-noeps;2.150000;100;46.511627907;2;1;0.5;0.01;100;10
tools/rand-e16384-v2048-1.0.data;./svm-train;20.390000;100;4.90436488475;0;1;0.5;0.01;100;10
tools/rand-e16384-v2048-1.0.data;./svm-cuda-train-noeps;0.950000;100;105.263157895;0;1;0.5;0.01;100;10
tools/rand-e32768-v1024-1.0.data;./svm-train;39.470000;100;2.53356979985;2;1;0.5;0.01;100;10
tools/rand-e32768-v1024-1.0.data;./svm-cuda-train-noeps;4.230000;100;23.6406619385;2;1;0.5;0.01;100;10
tools/rand-e32768-v1024-1.0.data;./svm-train;20.380000;100;4.90677134446;0;1;0.5;0.01;100;10
tools/rand-e32768-v1024-1.0.data;./svm-cuda-train-noeps;1.830000;100;54.6448087432;0;1;0.5;0.01;100;10
tools/rand-e8192-v4096-1.0.data;./svm-train;39.460000;100;2.53421186011;2;1;0.5;0.01;100;10
tools/rand-e8192-v4096-1.0.data;./svm-cuda-train-noeps;1.140000;100;87.7192982456;2;1;0.5;0.01;100;10
tools/rand-e8192-v4096-1.0.data;./svm-train;20.370000;100;4.90918016691;0;1;0.5;0.01;100;10
tools/rand-e8192-v4096-1.0.data;./svm-cuda-train-noeps;0.530000;100;188.679245283;0;1;0.5;0.01;100;10
